County,Agency,Sworn,Reserve,Dispatcher,Total,Year,Snapshot,SourceFile,Full-Time Sworn
LOS ANGELES COUNTY,VERNON PD,47.0,0,7,54,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,WEST COVINA PD,92.0,16,16,124,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,WHITTIER PD,121.0,4,13,138,2013,Jan,01-2013_clean.csv,
MADERA COUNTY,CHOWCHILLA PD,14.0,2,7,23,2013,Jan,01-2013_clean.csv,
MADERA COUNTY,MADERA COUNTY DA,6.0,0,0,6,2013,Jan,01-2013_clean.csv,
MADERA COUNTY,MADERA COUNTY SD,68.0,49,7,124,2013,Jan,01-2013_clean.csv,
MADERA COUNTY,MADERA PD,57.0,0,9,66,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,BELVEDERE PD,8.0,1,0,9,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,FAIRFAX PD,11.0,2,7,20,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,MARIN CCD PD,8.0,0,0,8,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,MARIN COUNTY DA,9.0,0,0,9,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,MARIN COUNTY SD,213.0,0,46,259,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,MARIN MUNCPL WATER DIST,6.0,0,0,6,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,MILL VALLEY PD,21.0,2,0,23,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,NOVATO PD,56.0,0,13,69,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,ROSS PD,8.0,0,0,8,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,SAN ANSELMO PD,15.0,4,5,24,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,SAN RAFAEL PD,59.0,6,14,79,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,SAUSALITO PD,17.0,0,0,17,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,TIBURON PD,13.0,5,0,18,2013,Jan,01-2013_clean.csv,
MARIN COUNTY,TWIN CITIES PD,30.0,2,5,37,2013,Jan,01-2013_clean.csv,
MARIPOSA COUNTY,MARIPOSA COUNTY DA,2.0,0,0,2,2013,Jan,01-2013_clean.csv,
MARIPOSA COUNTY,MARIPOSA COUNTY SD,39.0,14,0,53,2013,Jan,01-2013_clean.csv,
MENDOCINO COUNTY,FORT BRAGG PD,14.0,0,0,14,2013,Jan,01-2013_clean.csv,
MENDOCINO COUNTY,MENDOCINO COUNTY DA,6.0,0,0,6,2013,Jan,01-2013_clean.csv,
MENDOCINO COUNTY,MENDOCINO COUNTY SD,116.0,7,13,136,2013,Jan,01-2013_clean.csv,
MENDOCINO COUNTY,UKIAH PD,27.0,3,11,41,2013,Jan,01-2013_clean.csv,
MENDOCINO COUNTY,WILLITS PD,13.0,0,7,20,2013,Jan,01-2013_clean.csv,
MERCED COUNTY,ATWATER PD,29.0,4,9,42,2013,Jan,01-2013_clean.csv,
MERCED COUNTY,DOS PALOS PD,7.0,5,3,15,2013,Jan,01-2013_clean.csv,
MERCED COUNTY,GUSTINE PD,10.0,3,1,14,2013,Jan,01-2013_clean.csv,
MERCED COUNTY,LIVINGSTON PD,18.0,8,6,32,2013,Jan,01-2013_clean.csv,
MERCED COUNTY,LOS BANOS PD,35.0,0,12,47,2013,Jan,01-2013_clean.csv,
